latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR,wild_fire_occurred
-13.20369,-67.49056,20240518,25.41,29.71,22.1,88.19,4.18,99.24,14.65,0.67,17.7,8.08,18.01,1.0,1.5,3.31,0.7,0.48,0.0,0.03,1
-13.20369,-67.49056,20240519,25.34,29.2,21.89,86.75,4.25,99.32,14.64,0.66,17.4,8.05,17.7,1.17,1.75,3.31,0.7,0.65,0.0,0.06,1
-13.20369,-67.49056,20240520,23.66,26.8,21.3,81.19,3.6,99.37,14.63,0.66,14.59,8.03,14.95,1.0,1.91,3.31,0.7,0.16,0.0,0.0,1
-14.83217,-62.09417,20240518,27.64,34.37,21.93,58.44,3.9,98.33,15.98,0.46,13.0,7.96,13.31,0.68,1.48,4.54,0.49,0.1,0.0,0.0,1
-14.83217,-62.09417,20240519,25.97,30.95,22.48,59.31,3.09,98.54,15.97,0.46,12.39,7.93,12.39,1.27,1.75,4.54,0.49,0.83,0.0,0.0,1
-14.83217,-62.09417,20240520,24.94,31.98,19.23,55.81,2.77,98.42,15.96,0.45,10.74,7.9,10.99,0.99,1.55,4.54,0.49,0.36,0.0,0.0,1
-10.71685,-47.98648,20240518,27.3,35.26,19.31,53.38,1.79,97.17,15.98,0.62,10.8,8.45,11.66,2.24,3.87,1.15,0.73,0.83,0.0,0.35,1
-10.71685,-47.98648,20240519,28.5,35.94,20.33,51.56,2.94,97.13,15.97,0.62,11.23,8.42,12.21,1.77,2.72,1.15,0.73,0.77,0.0,0.0,1
-10.71685,-47.98648,20240520,28.16,34.99,22.15,62.81,2.7,97.13,15.96,0.62,13.92,8.4,14.89,2.2,3.52,1.15,0.73,1.47,0.0,1.51,1
41.47451,-1.48681,20240518,16.15,23.78,9.12,61.81,1.43,94.66,18.64,0.5,6.53,11.11,6.71,2.38,3.49,0.05,0.52,1.08,0.0,0.44,1
41.47451,-1.48681,20240519,14.83,21.4,9.42,73.88,1.58,94.6,18.63,0.51,7.63,11.14,7.81,1.51,2.81,0.05,0.52,0.41,0.0,6.57,1
41.47451,-1.48681,20240520,14.82,21.52,9.33,65.06,1.56,94.71,18.62,0.51,6.53,11.17,6.71,3.7,4.8,0.05,0.52,2.08,0.0,0.45,1
48.06213,37.37551,20240518,14.15,19.07,8.18,69.38,1.99,99.73,19.97,0.52,6.59,10.91,6.96,2.27,3.12,0.06,0.51,1.64,0.0,0.56,1
48.06213,37.37551,20240519,15.74,20.94,9.65,66.31,1.78,99.61,19.96,0.51,6.84,10.95,7.2,3.0,4.39,0.06,0.51,1.48,0.0,0.2,1
48.06213,37.37551,20240520,17.55,23.65,10.15,60.62,1.59,99.78,19.95,0.51,6.77,10.99,7.26,2.35,3.09,0.06,0.5,1.55,0.0,0.0,1
-11.14543,-45.72307,20240518,25.98,34.26,18.74,45.69,1.81,94.08,15.98,0.38,9.46,8.33,9.77,3.18,4.95,0.07,0.45,2.02,0.0,0.0,1
-11.14543,-45.72307,20240519,26.89,34.54,20.35,52.69,3.0,94.04,15.97,0.38,11.78,8.3,12.02,3.41,5.25,0.07,0.45,2.34,0.0,1.71,1
-11.14543,-45.72307,20240520,27.08,34.24,21.57,52.44,2.08,94.04,15.96,0.38,11.72,8.28,11.9,3.72,5.24,0.07,0.45,2.3,0.0,0.07,1
52.1739,14.61253,20240518,15.33,18.93,11.17,77.62,2.3,100.17,21.3,0.52,8.06,10.75,8.3,4.09,5.77,0.07,0.53,2.2,0.0,1.16,1
52.1739,14.61253,20240519,16.2,20.52,10.8,79.06,2.47,100.13,21.29,0.52,8.67,10.8,8.97,2.48,3.96,0.07,0.53,1.1,0.0,2.58,1
52.1739,14.61253,20240520,17.05,21.37,11.84,76.75,2.43,100.3,21.28,0.52,8.79,10.84,9.16,1.91,3.27,0.07,0.53,0.44,0.0,2.27,1
55.41386,43.39897,20240518,9.93,13.49,6.48,76.5,1.16,100.32,21.3,0.71,5.43,10.62,5.68,3.57,4.88,0.06,0.81,1.38,0.0,0.19,1
55.41386,43.39897,20240519,12.7,18.38,4.58,62.5,1.09,100.37,21.29,0.7,5.13,10.67,5.55,1.38,2.38,0.06,0.8,0.36,0.0,0.0,1
55.41386,43.39897,20240520,14.12,19.94,7.12,67.19,1.17,100.1,21.28,0.7,6.16,10.72,6.65,3.05,4.05,0.07,0.8,1.8,0.0,0.0,1
31.06198,8.03489,20240518,32.93,41.26,23.73,34.0,2.37,98.6,18.64,0.1,9.28,11.18,9.34,3.38,5.19,0.01,0.1,0.89,0.0,0.0,1
31.06198,8.03489,20240519,33.63,41.46,25.98,14.5,1.65,98.38,18.63,0.1,4.21,11.2,4.27,4.92,8.25,0.01,0.1,2.02,0.0,0.0,1
31.06198,8.03489,20240520,32.28,39.93,25.26,13.5,1.84,98.46,18.62,0.1,3.97,11.21,4.03,5.47,9.36,0.01,0.1,2.73,0.0,0.0,1
31.31564,31.78061,20240518,24.54,29.01,21.8,60.69,2.16,101.46,18.64,0.34,10.93,11.18,11.29,2.82,5.21,0.0,0.34,0.88,0.0,0.0,1
31.31564,31.78061,20240519,24.35,27.0,22.22,65.62,2.3,101.2,18.63,0.34,11.84,11.19,12.27,2.06,4.22,0.0,0.34,0.23,0.0,0.0,1
31.31564,31.78061,20240520,25.69,30.31,22.52,59.88,2.16,100.92,18.62,0.34,11.54,11.21,12.08,4.59,6.38,0.0,0.34,1.96,0.0,0.0,1
