latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR
36.97744522679149,-34.26468276585228,20240518,19.23,19.55,18.66,74.94,2.8,102.42,18.64,-999.0,9.95,11.18,10.19,2.7,4.78,0.0,-999.0,0.83,-999.0,0.16
36.97744522679149,-34.26468276585228,20240519,19.37,19.55,19.0,86.56,3.41,102.18,18.63,-999.0,11.66,11.2,11.96,5.32,6.14,0.0,-999.0,4.02,-999.0,1.2
36.97744522679149,-34.26468276585228,20240520,19.54,20.02,19.03,88.12,3.35,102.03,18.62,-999.0,12.02,11.23,12.33,5.91,6.53,0.0,-999.0,4.97,-999.0,1.99
-1.8272213795991945,-2.8447104280298916,20240518,27.34,27.64,27.02,83.31,5.45,101.19,15.98,-999.0,18.43,9.43,18.86,4.71,5.66,0.0,-999.0,4.05,-999.0,1.44
-1.8272213795991945,-2.8447104280298916,20240519,27.21,27.49,27.06,82.25,5.49,101.07,15.97,-999.0,18.01,9.41,18.49,5.28,5.73,0.0,-999.0,4.04,-999.0,0.88
-1.8272213795991945,-2.8447104280298916,20240520,27.11,27.31,26.93,80.12,5.32,101.14,15.96,-999.0,17.4,9.39,17.88,4.02,4.46,0.0,-999.0,3.65,-999.0,0.3
32.85343692770206,-7.163558863302626,20240518,17.34,25.39,12.94,66.38,1.88,94.34,19.97,0.46,8.12,11.18,8.18,3.94,6.26,0.04,0.47,2.11,0.0,0.05
32.85343692770206,-7.163558863302626,20240519,16.35,23.03,11.24,62.69,1.96,94.41,19.96,0.46,7.14,11.2,7.2,4.32,7.13,0.04,0.46,2.12,0.0,0.11
32.85343692770206,-7.163558863302626,20240520,16.35,23.83,10.98,62.06,1.44,94.64,19.95,0.46,6.9,11.22,6.96,3.59,6.72,0.04,0.46,0.73,0.0,0.06
-1.1579122956831078,-4.97639900512219,20240518,27.48,27.75,27.14,83.69,5.28,101.19,15.98,-999.0,18.62,9.43,19.1,4.6,6.27,0.0,-999.0,3.59,-999.0,1.21
-1.1579122956831078,-4.97639900512219,20240519,27.61,27.68,27.55,81.38,5.31,101.07,15.97,-999.0,18.19,9.41,18.74,5.75,6.48,0.0,-999.0,4.46,-999.0,1.23
-1.1579122956831078,-4.97639900512219,20240520,27.48,27.64,27.22,79.31,5.07,101.14,15.96,-999.0,17.58,9.39,18.07,4.48,4.94,0.0,-999.0,4.01,-999.0,0.33
4.282695524861431,16.78990332157089,20240518,26.32,30.8,22.56,84.06,4.52,94.34,15.98,0.38,18.55,9.97,18.98,1.8,2.95,1.47,0.41,1.23,0.0,4.43
4.282695524861431,16.78990332157089,20240519,25.21,29.54,22.0,85.69,4.79,94.36,15.97,0.38,17.64,9.96,18.13,1.57,2.25,1.47,0.41,1.19,0.0,4.95
4.282695524861431,16.78990332157089,20240520,26.23,31.06,21.46,78.69,4.8,94.37,15.96,0.38,16.91,9.95,17.52,1.26,1.98,1.47,0.41,0.54,0.0,0.44
-12.432846048000549,-49.5677303047739,20240518,28.71,37.94,20.29,40.56,1.67,98.32,15.98,0.61,8.61,8.21,9.28,3.07,4.76,0.07,0.7,1.7,0.0,0.0
-12.432846048000549,-49.5677303047739,20240519,29.94,38.21,20.76,37.56,1.69,98.28,15.97,0.61,8.61,8.18,9.46,1.97,3.89,0.07,0.7,1.01,0.0,0.0
-12.432846048000549,-49.5677303047739,20240520,29.8,37.24,22.89,48.81,1.84,98.26,15.96,0.61,12.08,8.15,12.63,2.92,4.48,0.07,0.7,1.56,0.0,0.33
-17.196230957571927,24.79924660235818,20240518,21.4,31.37,12.73,34.88,0.8,90.59,14.65,0.34,5.19,7.57,5.31,3.53,4.92,0.06,0.35,1.74,0.0,0.0
-17.196230957571927,24.79924660235818,20240519,20.7,30.63,11.94,36.44,0.97,90.61,14.64,0.34,5.62,7.54,5.68,4.08,7.09,0.06,0.35,2.34,0.0,0.0
-17.196230957571927,24.79924660235818,20240520,19.94,29.95,11.18,37.56,1.12,90.7,14.63,0.34,5.55,7.51,5.68,4.38,7.7,0.06,0.34,2.86,0.0,0.0
-24.220923967039433,-32.53210336482588,20240518,26.31,26.59,26.07,77.12,3.62,101.84,14.65,-999.0,15.75,6.59,16.3,4.39,5.77,0.0,-999.0,3.41,-999.0,0.03
-24.220923967039433,-32.53210336482588,20240519,25.69,26.19,24.23,78.88,3.66,101.85,14.64,-999.0,15.62,6.56,16.05,3.57,5.6,0.0,-999.0,1.89,-999.0,0.75
-24.220923967039433,-32.53210336482588,20240520,24.65,26.08,23.99,84.94,4.02,101.94,14.63,-999.0,15.75,6.52,16.24,5.02,6.05,0.0,-999.0,2.54,-999.0,0.85
-17.162902545651306,-48.530755074582515,20240518,23.44,32.18,15.58,45.44,1.23,91.98,15.98,0.6,7.87,7.57,8.3,2.57,3.33,0.07,0.65,1.42,0.0,0.08
-17.162902545651306,-48.530755074582515,20240519,23.3,32.35,15.83,41.38,1.21,91.95,15.97,0.6,6.84,7.53,7.2,2.16,3.14,0.07,0.65,0.11,0.0,0.0
-17.162902545651306,-48.530755074582515,20240520,23.85,33.15,16.8,43.62,1.66,91.91,15.96,0.6,7.75,7.5,8.24,2.14,3.01,0.07,0.65,1.18,0.0,0.07
-6.043156807623173,-55.55581739139707,20240518,25.41,28.51,22.6,93.0,4.42,98.29,15.98,0.95,18.98,8.91,19.29,0.69,1.28,4.48,0.95,0.28,0.0,10.25
-6.043156807623173,-55.55581739139707,20240519,25.44,28.88,21.75,92.69,3.92,98.26,15.97,0.94,19.23,8.89,19.41,0.91,1.58,4.48,0.95,0.35,0.0,9.64
-6.043156807623173,-55.55581739139707,20240520,24.79,27.52,22.99,94.69,3.91,98.21,15.96,0.95,18.8,8.86,18.98,0.83,1.3,4.48,0.95,0.61,0.0,10.02
