latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR
-8.195896659196677,-3.991636862109118,20240518,26.35,26.61,26.11,82.44,2.73,101.32,15.98,-999.0,16.97,8.69,17.58,6.41,7.18,0.0,-999.0,5.33,-999.0,0.0
-8.195896659196677,-3.991636862109118,20240519,26.58,26.85,26.23,83.31,3.08,101.17,15.97,-999.0,17.4,8.66,18.01,7.7,8.0,0.0,-999.0,7.07,-999.0,0.0
-8.195896659196677,-3.991636862109118,20240520,26.37,26.63,26.2,82.19,3.13,101.23,15.96,-999.0,16.91,8.64,17.52,6.77,7.62,0.0,-999.0,5.84,-999.0,0.0
-27.814916455372096,22.76325273028573,20240518,20.88,27.83,16.4,26.0,0.84,89.11,14.65,0.24,4.27,6.15,4.39,1.76,3.34,0.03,0.24,0.27,0.0,0.0
-27.814916455372096,22.76325273028573,20240519,19.37,27.05,12.6,27.94,0.76,89.09,14.64,0.24,4.09,6.12,4.21,2.89,3.8,0.03,0.24,0.59,0.0,0.0
-27.814916455372096,22.76325273028573,20240520,19.06,28.11,12.51,29.38,0.77,89.17,14.63,0.24,4.21,6.08,4.27,4.08,5.53,0.03,0.24,2.73,0.0,0.0
-24.943964311042542,-5.726354189326187,20240518,21.12,21.4,20.8,72.06,1.89,102.2,14.65,-999.0,10.62,6.59,11.05,2.98,4.91,0.0,-999.0,1.3,-999.0,0.04
-24.943964311042542,-5.726354189326187,20240519,21.11,21.56,20.69,75.31,1.95,101.96,14.64,-999.0,11.17,6.56,11.6,2.95,4.2,0.0,-999.0,2.26,-999.0,0.12
-24.943964311042542,-5.726354189326187,20240520,21.9,22.21,21.26,71.19,1.94,101.85,14.63,-999.0,11.05,6.52,11.54,3.27,3.8,0.0,-999.0,2.39,-999.0,0.3
13.513372351680964,-20.27698870515934,20240518,24.64,24.76,24.48,81.19,3.66,101.3,17.31,-999.0,15.08,10.6,15.62,6.91,7.49,0.0,-999.0,5.39,-999.0,0.0
13.513372351680964,-20.27698870515934,20240519,24.76,24.87,24.56,81.5,4.32,101.25,17.3,-999.0,15.26,10.6,15.81,6.62,7.69,0.0,-999.0,5.32,-999.0,0.0
13.513372351680964,-20.27698870515934,20240520,24.84,25.04,24.59,80.88,4.0,101.28,17.29,-999.0,15.2,10.6,15.75,6.62,7.44,0.0,-999.0,6.12,-999.0,0.0
