latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR
38.11611,22.45067,20240518,21.62,29.1,16.65,56.56,2.61,94.73,19.97,0.43,8.91,11.15,9.34,1.33,3.29,0.06,0.43,0.48,0.0,0.04
38.11611,22.45067,20240519,22.38,30.13,15.11,58.75,2.39,94.42,19.96,0.43,9.46,11.18,9.77,1.66,2.88,0.06,0.43,0.49,0.0,0.0
38.11611,22.45067,20240520,23.17,31.17,16.23,57.56,2.56,94.45,19.95,0.42,9.77,11.21,10.07,1.45,3.06,0.06,0.42,0.12,0.0,0.0
-15.00275,18.45025,20240518,19.75,29.35,11.43,31.0,0.79,87.22,15.98,0.25,4.58,7.83,4.64,4.23,6.68,0.07,0.26,2.88,0.0,0.0
-15.00275,18.45025,20240519,19.63,29.76,10.65,26.31,0.66,87.19,15.97,0.25,3.72,7.8,3.78,4.24,6.59,0.07,0.26,2.86,0.0,0.0
-15.00275,18.45025,20240520,19.36,29.53,10.37,25.56,0.91,87.22,15.96,0.25,3.91,7.77,3.97,4.88,8.05,0.07,0.26,3.28,0.0,0.0
-6.23922,12.36136,20240518,28.53,33.57,25.59,78.94,4.82,100.37,15.98,0.3,18.43,8.91,18.8,2.4,4.04,0.21,0.31,1.31,0.0,1.57
-6.23922,12.36136,20240519,28.35,33.15,25.39,78.12,4.69,100.33,15.97,0.3,18.13,8.89,18.43,2.52,4.09,0.21,0.31,1.28,0.0,0.2
-6.23922,12.36136,20240520,28.86,34.66,24.71,74.75,4.47,100.34,15.96,0.3,17.58,8.87,17.94,2.27,4.19,0.21,0.31,1.45,0.0,0.11
-23.97991,-55.82162,20240518,17.91,20.72,14.44,83.31,3.91,99.11,14.65,0.55,10.68,6.73,10.74,1.03,1.54,4.24,0.59,0.71,0.0,1.64
-23.97991,-55.82162,20240519,16.37,21.34,13.0,73.94,2.55,99.34,14.64,0.55,8.36,6.7,8.42,0.98,1.24,4.24,0.59,0.71,0.0,0.16
-23.97991,-55.82162,20240520,18.01,26.13,10.68,71.12,1.92,99.06,14.63,0.55,8.79,6.66,8.85,0.88,1.35,4.24,0.59,0.45,0.0,0.0
-15.50397,18.50146,20240518,20.04,29.6,11.99,30.25,0.79,87.85,15.98,0.21,4.52,7.83,4.58,4.38,6.89,0.07,0.22,3.03,0.0,0.0
-15.50397,18.50146,20240519,19.91,30.1,11.08,24.38,0.66,87.82,15.97,0.21,3.54,7.8,3.6,4.37,6.56,0.07,0.22,3.02,0.0,0.0
-15.50397,18.50146,20240520,19.69,29.9,11.12,24.75,0.91,87.85,15.96,0.21,3.72,7.77,3.78,5.03,8.03,0.06,0.22,3.43,0.0,0.0
-31.24972,-65.42667,20240518,10.26,18.14,4.26,63.94,1.11,98.13,14.65,0.43,4.7,5.54,4.82,1.54,2.29,1.46,0.43,0.65,0.0,0.0
-31.24972,-65.42667,20240519,10.32,17.84,3.57,63.38,0.81,97.93,14.64,0.43,4.76,5.5,4.76,2.91,3.95,1.46,0.43,1.69,0.0,0.0
-31.24972,-65.42667,20240520,12.76,19.18,7.76,57.31,0.92,96.94,14.63,0.42,5.25,5.46,5.25,4.64,7.12,1.45,0.43,1.79,0.0,0.0
-29.64487,-62.72848,20240518,10.06,16.95,5.33,77.88,1.48,101.51,14.65,0.54,5.55,5.84,5.68,3.52,4.88,0.15,0.53,2.48,0.0,0.0
-29.64487,-62.72848,20240519,10.14,17.55,4.71,78.62,1.02,101.47,14.64,0.54,5.74,5.81,5.86,2.41,3.27,0.15,0.53,1.92,0.0,0.0
-29.64487,-62.72848,20240520,11.54,18.85,5.51,76.81,1.15,100.6,13.3,0.53,6.16,5.77,6.23,5.33,8.18,0.15,0.52,3.42,0.0,0.0
-24.00151,-55.46758,20240518,17.91,20.72,14.44,83.31,3.98,99.11,14.65,0.55,10.68,6.59,10.74,1.03,1.54,4.24,0.59,0.71,0.0,1.64
-24.00151,-55.46758,20240519,16.37,21.34,13.0,73.94,1.95,99.34,14.64,0.55,8.36,6.55,8.42,0.98,1.24,4.24,0.59,0.71,0.0,0.16
-24.00151,-55.46758,20240520,18.01,26.13,10.68,71.12,1.55,99.06,14.63,0.55,8.79,6.52,8.85,0.88,1.35,4.24,0.59,0.45,0.0,0.0
-14.67807,18.35193,20240518,19.33,28.91,11.07,31.56,0.88,86.01,15.98,0.23,4.64,7.96,4.7,4.12,6.39,0.13,0.23,2.84,0.0,0.0
-14.67807,18.35193,20240519,19.39,29.19,10.97,27.31,0.87,85.98,15.97,0.23,3.91,7.93,3.97,4.15,6.25,0.13,0.23,2.87,0.0,0.0
-14.67807,18.35193,20240520,19.03,28.75,10.13,27.38,1.09,86.01,15.96,0.23,4.15,7.9,4.21,4.65,7.7,0.13,0.23,3.22,0.0,0.0
38.43041,30.83973,20240518,19.44,27.8,11.28,54.25,1.73,87.74,18.64,0.46,7.87,11.15,8.18,4.14,6.91,0.05,0.48,1.91,0.0,0.0
38.43041,30.83973,20240519,19.01,25.52,12.58,58.62,2.12,87.57,18.63,0.46,8.3,11.18,8.61,1.87,3.0,0.05,0.48,0.63,0.0,0.07
38.43041,30.83973,20240520,19.41,24.98,14.17,63.88,2.09,87.38,18.62,0.46,9.58,11.21,9.89,2.24,3.48,0.05,0.48,1.08,0.0,0.26
