latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR
38.11611,22.45067,20240925,21.4,28.15,14.97,67.31,-999.0,94.97,-999.0,-999.0,10.5,7.91,10.74,1.98,2.85,-999.0,-999.0,1.15,-999.0,0.15
38.11611,22.45067,20240926,21.88,29.2,15.63,62.19,-999.0,94.92,-999.0,-999.0,9.52,7.84,9.89,1.88,2.6,-999.0,-999.0,0.77,-999.0,0.0
38.11611,22.45067,20240927,22.13,30.11,15.23,58.56,-999.0,94.7,-999.0,-999.0,8.91,7.78,9.34,1.44,2.62,-999.0,-999.0,0.2,-999.0,0.0
38.11611,22.45067,20240928,23.04,31.32,16.4,58.38,-999.0,94.5,-999.0,-999.0,9.58,7.71,9.95,1.8,2.7,-999.0,-999.0,0.62,-999.0,0.04
38.11611,22.45067,20240929,20.86,27.55,15.61,67.25,-999.0,94.42,-999.0,-999.0,10.38,-999.0,10.56,6.05,9.2,-999.0,-999.0,2.98,-999.0,0.08
-15.00275,18.45025,20240925,25.99,35.35,16.72,24.62,-999.0,86.94,-999.0,-999.0,5.37,10.08,5.37,5.23,7.68,-999.0,-999.0,2.96,-999.0,0.0
-15.00275,18.45025,20240926,26.76,36.14,17.82,19.0,-999.0,86.87,-999.0,-999.0,4.39,10.11,4.39,4.88,7.44,-999.0,-999.0,3.14,-999.0,0.0
-15.00275,18.45025,20240927,27.54,36.86,18.26,15.56,-999.0,86.76,-999.0,-999.0,3.85,10.14,3.91,4.67,7.37,-999.0,-999.0,3.01,-999.0,0.0
-15.00275,18.45025,20240928,28.33,37.94,19.33,19.81,-999.0,86.59,-999.0,-999.0,4.94,10.18,5.0,3.3,5.61,-999.0,-999.0,1.94,-999.0,0.0
-15.00275,18.45025,20240929,27.72,36.58,19.42,22.69,-999.0,86.57,-999.0,-999.0,5.68,-999.0,5.74,2.77,4.49,-999.0,-999.0,1.68,-999.0,0.0
-6.23922,12.36136,20240925,25.53,29.35,23.15,81.56,-999.0,100.54,-999.0,-999.0,16.24,10.34,16.54,3.2,4.95,-999.0,-999.0,1.93,-999.0,1.77
-6.23922,12.36136,20240926,25.45,28.61,23.44,81.69,-999.0,100.58,-999.0,-999.0,16.17,10.35,16.48,3.22,4.12,-999.0,-999.0,1.88,-999.0,0.96
-6.23922,12.36136,20240927,25.51,28.98,23.14,82.25,-999.0,100.56,-999.0,-999.0,16.36,10.37,16.66,3.44,4.41,-999.0,-999.0,2.38,-999.0,1.53
-6.23922,12.36136,20240928,25.88,29.88,23.05,80.12,-999.0,100.5,-999.0,-999.0,16.24,10.39,16.54,3.05,4.81,-999.0,-999.0,1.41,-999.0,0.78
-6.23922,12.36136,20240929,25.75,29.45,23.3,82.44,-999.0,100.54,-999.0,-999.0,16.66,-999.0,16.91,3.26,4.72,-999.0,-999.0,2.24,-999.0,1.91
-23.97991,-55.82162,20240925,30.31,39.7,23.89,52.19,-999.0,98.04,-999.0,-999.0,12.82,9.64,13.43,1.37,1.75,-999.0,-999.0,0.77,-999.0,0.0
-23.97991,-55.82162,20240926,25.36,30.77,18.71,65.12,-999.0,98.44,-999.0,-999.0,13.37,9.69,13.55,1.64,2.55,-999.0,-999.0,0.89,-999.0,1.09
-23.97991,-55.82162,20240927,21.9,29.98,15.94,55.62,-999.0,98.92,-999.0,-999.0,8.36,9.73,8.48,1.27,1.69,-999.0,-999.0,0.81,-999.0,0.0
-23.97991,-55.82162,20240928,24.26,34.65,13.72,49.06,-999.0,98.76,-999.0,-999.0,7.93,9.78,8.18,1.02,1.57,-999.0,-999.0,0.38,-999.0,0.0
-23.97991,-55.82162,20240929,26.93,35.77,19.52,46.5,-999.0,98.53,-999.0,-999.0,9.7,-999.0,9.83,1.42,2.04,-999.0,-999.0,0.98,-999.0,0.0
-15.50397,18.50146,20240925,26.65,35.85,17.65,24.0,-999.0,87.55,-999.0,-999.0,5.43,10.08,5.49,5.31,7.5,-999.0,-999.0,3.22,-999.0,0.0
-15.50397,18.50146,20240926,27.46,36.83,18.41,19.31,-999.0,87.47,-999.0,-999.0,4.64,10.11,4.64,4.74,7.02,-999.0,-999.0,3.12,-999.0,0.0
-15.50397,18.50146,20240927,28.48,37.55,19.45,15.81,-999.0,87.35,-999.0,-999.0,4.15,10.14,4.15,4.74,7.14,-999.0,-999.0,3.2,-999.0,0.0
-15.50397,18.50146,20240928,29.41,38.57,20.46,18.69,-999.0,87.18,-999.0,-999.0,4.88,10.18,4.94,2.98,5.39,-999.0,-999.0,1.45,-999.0,0.0
-15.50397,18.50146,20240929,28.08,36.95,19.92,21.56,-999.0,87.18,-999.0,-999.0,5.43,-999.0,5.49,2.96,5.34,-999.0,-999.0,1.59,-999.0,0.0
-31.24972,-65.42667,20240925,21.68,30.14,13.67,32.56,-999.0,97.12,-999.0,-999.0,5.07,9.01,5.07,2.88,5.07,-999.0,-999.0,0.59,-999.0,0.19
-31.24972,-65.42667,20240926,18.39,26.15,12.57,42.75,-999.0,98.02,-999.0,-999.0,5.25,9.07,5.37,1.8,3.27,-999.0,-999.0,0.44,-999.0,4.54
-31.24972,-65.42667,20240927,18.8,27.98,11.16,35.0,-999.0,97.32,-999.0,-999.0,4.52,9.13,4.58,4.2,6.98,-999.0,-999.0,2.51,-999.0,0.0
-31.24972,-65.42667,20240928,23.64,33.27,14.15,33.0,-999.0,96.86,-999.0,-999.0,5.8,9.19,5.86,3.48,4.39,-999.0,-999.0,2.41,-999.0,0.0
-31.24972,-65.42667,20240929,27.52,36.81,18.71,35.94,-999.0,96.34,-999.0,-999.0,8.12,-999.0,8.18,4.0,5.57,-999.0,-999.0,2.8,-999.0,0.0
-29.64487,-62.72848,20240925,23.08,30.26,15.73,62.06,-999.0,100.21,-999.0,-999.0,10.19,9.19,10.25,5.66,7.8,-999.0,-999.0,2.41,-999.0,0.05
-29.64487,-62.72848,20240926,19.29,24.9,12.37,42.06,-999.0,101.23,-999.0,-999.0,5.62,9.24,5.68,6.88,9.38,-999.0,-999.0,2.79,-999.0,0.0
-29.64487,-62.72848,20240927,19.38,29.61,10.01,32.69,-999.0,100.82,-999.0,-999.0,3.97,9.3,4.09,3.92,4.79,-999.0,-999.0,2.7,-999.0,0.0
-29.64487,-62.72848,20240928,23.64,34.21,13.31,41.44,-999.0,100.29,-999.0,-999.0,6.9,9.36,6.96,4.55,6.15,-999.0,-999.0,3.06,-999.0,0.0
-29.64487,-62.72848,20240929,27.83,38.27,18.12,42.69,-999.0,99.76,-999.0,-999.0,9.09,-999.0,9.16,5.87,7.92,-999.0,-999.0,4.32,-999.0,0.0
-24.00151,-55.46758,20240925,30.31,39.7,23.89,52.19,-999.0,98.04,-999.0,-999.0,12.82,9.57,13.43,1.37,1.75,-999.0,-999.0,0.77,-999.0,0.0
-24.00151,-55.46758,20240926,25.36,30.77,18.71,65.12,-999.0,98.44,-999.0,-999.0,13.37,9.62,13.55,1.64,2.55,-999.0,-999.0,0.89,-999.0,1.09
-24.00151,-55.46758,20240927,21.9,29.98,15.94,55.62,-999.0,98.92,-999.0,-999.0,8.36,9.67,8.48,1.27,1.69,-999.0,-999.0,0.81,-999.0,0.0
-24.00151,-55.46758,20240928,24.26,34.65,13.72,49.06,-999.0,98.76,-999.0,-999.0,7.93,9.72,8.18,1.02,1.57,-999.0,-999.0,0.38,-999.0,0.0
-24.00151,-55.46758,20240929,26.93,35.77,19.52,46.5,-999.0,98.53,-999.0,-999.0,9.7,-999.0,9.83,1.42,2.04,-999.0,-999.0,0.98,-999.0,0.0
-14.67807,18.35193,20240925,25.19,34.6,16.19,24.69,-999.0,85.75,-999.0,-999.0,5.13,10.12,5.19,5.0,7.68,-999.0,-999.0,2.85,-999.0,0.0
-14.67807,18.35193,20240926,25.51,35.08,16.6,19.44,-999.0,85.71,-999.0,-999.0,4.15,10.15,4.21,4.7,7.23,-999.0,-999.0,2.93,-999.0,0.0
-14.67807,18.35193,20240927,25.94,35.61,16.45,16.44,-999.0,85.6,-999.0,-999.0,3.66,10.18,3.72,4.55,7.41,-999.0,-999.0,2.71,-999.0,0.0
-14.67807,18.35193,20240928,27.18,36.88,17.49,21.0,-999.0,85.45,-999.0,-999.0,4.94,10.21,5.0,3.16,5.29,-999.0,-999.0,1.9,-999.0,0.0
-14.67807,18.35193,20240929,26.8,35.7,18.48,24.06,-999.0,85.44,-999.0,-999.0,5.8,-999.0,5.86,2.73,5.01,-999.0,-999.0,1.52,-999.0,0.0
38.43041,30.83973,20240925,16.96,23.07,11.48,56.19,-999.0,87.89,-999.0,-999.0,6.96,7.91,7.45,1.03,1.73,-999.0,-999.0,0.06,-999.0,0.0
38.43041,30.83973,20240926,18.17,24.83,11.81,53.62,-999.0,87.82,-999.0,-999.0,7.26,7.84,7.81,1.3,2.01,-999.0,-999.0,0.8,-999.0,0.0
38.43041,30.83973,20240927,18.61,26.05,12.33,55.94,-999.0,87.74,-999.0,-999.0,7.57,7.78,8.18,2.26,3.09,-999.0,-999.0,1.05,-999.0,0.0
38.43041,30.83973,20240928,20.35,27.63,13.52,46.0,-999.0,87.57,-999.0,-999.0,6.84,7.71,7.51,1.72,3.99,-999.0,-999.0,0.2,-999.0,0.0
38.43041,30.83973,20240929,18.9,27.57,12.81,57.12,-999.0,87.27,-999.0,-999.0,7.93,-999.0,8.54,2.41,4.38,-999.0,-999.0,1.55,-999.0,0.0
