latitude,longitude,acq_date
-20.18307,147.90173,2024-10-02
32.34914,47.42683,2024-10-01
-10.87188,-44.80265,2024-10-01
-6.74433,36.78798,2024-10-02
-18.59176,-53.04084,2024-10-01
-15.05587,-61.48581,2024-10-01
-14.81233,-63.04916,2024-10-03
-4.45193,16.04899,2024-10-01
13.43965,26.18847,2024-09-30
52.55677,115.25228,2024-10-01
-15.6464,28.91263,2024-10-01
-13.6383,-62.73353,2024-10-02
-8.76319,34.15611,2024-09-30
-5.34015,13.19336,2024-10-02
-14.03552,-63.95675,2024-10-01
-24.02458,-57.26655,2024-09-30
-17.96402,-57.76911,2024-10-02
-15.67161,145.18648,2024-09-30
34.72059,-92.08979,2024-10-02
43.54094,-122.23283,2024-10-02
-11.05749,-52.50302,2024-10-03
-12.74739,-62.89397,2024-10-02
-12.34045,14.30706,2024-09-30
-25.0007,147.43695,2024-09-30
-10.54075,-69.3302,2024-10-03
44.87287,-107.47426,2024-10-01
50.09669,37.64565,2024-10-02
-14.57769,-62.37911,2024-10-02
52.70527,114.44792,2024-10-02
-25.34834,29.56373,2024-09-30
-3.13903,25.81203,2024-10-01
28.33214,117.21794,2024-10-02
-13.82558,-64.08518,2024-10-01
-17.94409,-58.59397,2024-09-30
-12.89689,-64.82848,2024-10-02
-19.44369,-58.82254,2024-10-02
-16.26349,32.6186,2024-10-01
45.03992,-114.50816,2024-09-30
-16.63617,35.88561,2024-10-01
50.37777,127.68626,2024-10-03
-10.84979,33.946,2024-10-02
-16.21677,136.06787,2024-09-30
53.57857,115.43819,2024-10-02
-14.78903,38.96369,2024-09-30
48.89942,38.33143,2024-10-03
-11.86397,25.92577,2024-09-30
-10.71639,32.96973,2024-10-02
-21.70829,45.23652,2024-09-30
41.63927,-87.13943,2024-10-02
-22.91642,-58.11786,2024-09-30
-12.9466,-67.8888,2024-10-02
49.75688,37.9208,2024-10-03
-16.58445,35.99892,2024-09-30
-14.19862,-64.07516,2024-10-01
-14.0627,-63.9576,2024-10-01
-12.05929,36.96143,2024-09-30
-15.1991,-62.02568,2024-10-02
-22.31153,-45.79075,2024-10-02
-15.7595,37.85378,2024-09-30
-14.60557,18.37728,2024-09-30
-28.11614,-61.90715,2024-10-02
38.01631,40.29909,2024-10-01
51.60426,49.62567,2024-10-02
50.87783,49.07967,2024-09-30
40.36658,17.6217,2024-10-01
-28.88849,-60.67827,2024-10-02
-11.35136,21.91181,2024-10-02
