latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR,wild_fire_occurred
-27.814916455372096,22.76325273028573,20240518,20.88,27.83,16.4,26.0,0.84,89.11,14.65,0.24,4.27,6.15,4.39,1.76,3.34,0.03,0.24,0.27,0.0,0.0,0
-27.814916455372096,22.76325273028573,20240519,19.37,27.05,12.6,27.94,0.76,89.09,14.64,0.24,4.09,6.12,4.21,2.89,3.8,0.03,0.24,0.59,0.0,0.0,0
-27.814916455372096,22.76325273028573,20240520,19.06,28.11,12.51,29.38,0.77,89.17,14.63,0.24,4.21,6.08,4.27,4.08,5.53,0.03,0.24,2.73,0.0,0.0,0
32.85343692770206,-7.163558863302626,20240518,17.34,25.39,12.94,66.38,1.88,94.34,19.97,0.46,8.12,11.18,8.18,3.94,6.26,0.04,0.47,2.11,0.0,0.05,0
32.85343692770206,-7.163558863302626,20240519,16.35,23.03,11.24,62.69,1.96,94.41,19.96,0.46,7.14,11.2,7.2,4.32,7.13,0.04,0.46,2.12,0.0,0.11,0
32.85343692770206,-7.163558863302626,20240520,16.35,23.83,10.98,62.06,1.44,94.64,19.95,0.46,6.9,11.22,6.96,3.59,6.72,0.04,0.46,0.73,0.0,0.06,0
4.282695524861431,16.78990332157089,20240518,26.32,30.8,22.56,84.06,4.52,94.34,15.98,0.38,18.55,9.97,18.98,1.8,2.95,1.47,0.41,1.23,0.0,4.43,0
4.282695524861431,16.78990332157089,20240519,25.21,29.54,22.0,85.69,4.79,94.36,15.97,0.38,17.64,9.96,18.13,1.57,2.25,1.47,0.41,1.19,0.0,4.95,0
4.282695524861431,16.78990332157089,20240520,26.23,31.06,21.46,78.69,4.8,94.37,15.96,0.38,16.91,9.95,17.52,1.26,1.98,1.47,0.41,0.54,0.0,0.44,0
-12.432846048000547,-49.5677303047739,20240518,28.71,37.94,20.29,40.56,1.67,98.32,15.98,0.61,8.61,8.21,9.28,3.07,4.76,0.07,0.7,1.7,0.0,0.0,0
-12.432846048000547,-49.5677303047739,20240519,29.94,38.21,20.76,37.56,1.69,98.28,15.97,0.61,8.61,8.18,9.46,1.97,3.89,0.07,0.7,1.01,0.0,0.0,0
-12.432846048000547,-49.5677303047739,20240520,29.8,37.24,22.89,48.81,1.84,98.26,15.96,0.61,12.08,8.15,12.63,2.92,4.48,0.07,0.7,1.56,0.0,0.33,0
-17.196230957571927,24.79924660235818,20240518,21.4,31.37,12.73,34.88,0.8,90.59,14.65,0.34,5.19,7.57,5.31,3.53,4.92,0.06,0.35,1.74,0.0,0.0,0
-17.196230957571927,24.79924660235818,20240519,20.7,30.63,11.94,36.44,0.97,90.61,14.64,0.34,5.62,7.54,5.68,4.08,7.09,0.06,0.35,2.34,0.0,0.0,0
-17.196230957571927,24.79924660235818,20240520,19.94,29.95,11.18,37.56,1.12,90.7,14.63,0.34,5.55,7.51,5.68,4.38,7.7,0.06,0.34,2.86,0.0,0.0,0
