latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,PW,PS,TOA_SW_DNI,GWETROOT,QV10M,TOA_SW_DWN,QV2M,WS10M,WS10M_MAX,Z0M,GWETPROF,WS10M_MIN,SNODP,PRECTOTCORR,wild_fire_occurred
-14.21163,-63.10752,20240520,26.51,33.15,20.85,60.69,2.83,99.38,15.96,0.61,12.39,7.9,12.88,1.49,3.27,2.06,0.65,0.02,0.0,0.0,1
-4.274551291887413,-45.61594168882999,20240519,26.41,29.74,22.98,91.31,4.79,99.31,15.97,0.71,19.65,9.1,19.9,0.77,0.98,4.43,0.77,0.37,0.0,3.1,0
-13.01953,-65.26057,20240519,27.88,33.6,23.84,68.44,4.12,99.72,15.97,0.62,15.44,8.05,15.69,3.98,5.89,0.07,0.62,1.8,0.0,0.01,1
-12.01654,37.30867,20240518,22.83,28.1,18.1,85.5,3.58,96.63,14.65,0.77,14.83,8.21,15.26,3.12,4.51,0.07,0.83,2.21,0.0,0.85,1
-3.101889997211753,-47.751635805994624,20240519,26.8,30.13,23.7,90.5,4.86,99.88,15.97,0.88,19.78,9.21,20.08,0.75,1.22,4.33,0.91,0.16,0.0,0.28,0
41.63927,-87.13943,20240518,21.14,27.0,14.01,75.81,2.4,98.62,19.97,0.65,11.35,11.12,11.84,3.09,3.86,0.1,0.66,1.93,0.0,0.04,1
45.08929,65.07778,20240520,16.16,21.84,10.3,64.38,1.91,100.28,19.95,0.45,6.9,11.07,6.96,4.52,6.52,0.02,0.46,2.68,0.0,1.04,1
-16.55713,135.74757,20240519,24.29,30.94,19.34,41.69,2.09,99.84,15.97,0.31,7.45,7.68,7.57,6.75,10.49,0.05,0.31,3.98,0.0,0.0,1
-15.67161,145.18648,20240520,21.65,25.05,18.54,72.56,2.92,99.24,15.96,0.49,11.54,7.78,11.78,5.05,7.8,0.78,0.51,3.45,0.0,0.03,1
-10.09982,14.4863,20240520,29.68,39.9,22.56,41.44,2.27,97.27,15.96,0.44,9.34,8.4,9.77,2.77,4.92,0.23,0.47,0.94,0.0,0.0,1
-16.272226845831447,-62.74088532042839,20240519,19.14,23.01,16.49,68.62,3.35,97.45,15.97,0.51,9.58,7.67,9.64,3.03,4.25,1.7,0.51,1.7,0.0,0.0,0
-16.96285,-56.17862,20240518,29.15,35.52,24.21,59.75,1.67,99.95,15.98,0.4,14.4,7.7,14.65,1.23,2.62,2.16,0.4,0.23,0.0,0.68,1
-12.78395,35.94444,20240518,21.49,26.68,17.04,83.69,2.49,93.1,14.65,0.72,13.85,8.21,14.22,1.63,2.12,2.21,0.8,1.18,0.0,0.58,1
44.50542,-115.71824,20240520,2.04,7.78,-3.35,71.56,0.56,79.99,19.95,0.52,3.54,11.12,3.72,2.23,3.16,1.89,0.54,1.41,8.59,0.23,1
-16.662168940874075,-47.0039597955874,20240519,24.66,33.16,17.01,43.31,1.26,93.42,15.97,0.59,8.0,7.67,8.42,2.17,2.97,0.07,0.62,1.45,0.0,0.0,0
-13.2054,-67.54617,20240520,23.66,26.8,21.3,81.19,3.6,99.37,14.63,0.66,14.59,8.03,14.95,1.0,1.91,3.31,0.7,0.16,0.0,0.0,1
-14.88801,-63.19644,20240518,27.31,33.64,21.18,63.5,4.07,98.53,15.98,0.41,13.98,7.96,14.16,0.61,0.93,4.54,0.49,0.16,0.0,0.0,1
32.85343692770206,-7.163558863302626,20240520,16.35,23.83,10.98,62.06,1.44,94.64,19.95,0.46,6.9,11.22,6.96,3.59,6.72,0.04,0.46,0.73,0.0,0.06,0
-15.49074,22.97142,20240519,21.42,31.51,12.63,31.5,1.07,90.06,14.64,0.19,4.76,7.8,4.82,3.74,5.66,0.23,0.21,2.86,0.0,0.0,1
-21.12759,46.88584,20240518,17.37,23.18,12.94,86.0,2.27,87.45,15.98,0.77,11.66,7.03,12.02,2.35,3.21,0.26,0.81,0.2,0.0,0.58,1
-15.01185,14.48971,20240520,20.41,30.69,12.2,21.06,0.92,86.51,15.96,0.32,3.23,7.77,3.3,4.93,7.96,0.07,0.34,2.9,0.0,0.0,1
15.201124604692986,-4.653056540984096,20240520,39.17,45.04,32.51,24.81,2.18,97.61,17.29,0.41,10.25,10.71,10.62,1.6,2.72,0.01,0.41,0.02,0.0,0.0,0
6.148257527565399,-62.535432264659015,20240520,23.73,29.15,20.64,80.25,5.36,91.53,15.96,0.55,15.56,10.11,15.87,1.91,3.0,1.51,0.55,0.86,0.0,0.05,0
-10.22272,-52.70511,20240518,24.76,31.12,20.19,76.44,2.08,97.85,15.98,0.67,14.1,8.45,14.77,0.95,1.59,4.52,0.7,0.3,0.0,2.09,1
-2.847233943351835,26.033969899254245,20240520,26.25,30.15,23.3,79.31,3.17,94.89,15.96,0.66,17.46,9.29,17.58,0.73,0.9,4.32,0.82,0.48,0.0,0.07,0
-1.9826238609772453,29.87132808437029,20240519,20.41,25.98,15.81,82.12,2.01,83.94,15.97,0.72,14.04,9.41,14.4,2.48,4.04,0.41,0.76,1.55,0.0,1.41,0
-3.39064,-54.07994,20240518,26.23,29.8,23.19,90.94,5.34,99.51,17.31,0.77,19.41,9.23,19.65,0.85,1.3,4.54,0.77,0.36,0.0,2.8,1
-5.243017677756075,18.24318954427204,20240518,28.58,35.68,22.34,44.31,3.01,94.93,15.98,0.27,10.68,9.02,10.99,1.37,2.3,3.02,0.3,0.37,0.0,0.07,0
16.592278252975554,20.50782962728134,20240520,33.88,43.03,24.62,9.5,1.09,95.76,17.29,0.2,3.11,10.76,3.11,3.0,5.07,0.01,0.21,0.67,0.0,0.0,0
4.168933926289533,10.435189163910763,20240520,25.72,28.94,23.71,92.25,5.29,97.13,17.29,0.58,19.47,9.95,19.65,1.05,1.3,2.27,0.62,0.91,0.0,4.17,0
16.965357103230893,-9.192108638889458,20240519,36.05,43.53,28.71,12.56,3.67,98.44,17.3,0.17,4.52,10.76,4.58,3.58,4.65,0.01,0.18,2.52,0.0,0.0,0
-3.5672762396792947,16.388311288822834,20240519,27.51,33.41,22.67,68.5,4.39,95.29,15.97,0.32,15.44,9.21,15.93,2.0,2.76,1.03,0.34,1.21,0.0,0.9,0
-22.40830450410603,28.03942754590763,20240519,20.04,28.33,12.97,58.75,1.73,92.95,15.97,0.34,8.85,6.85,8.85,3.39,5.49,0.04,0.34,2.27,0.0,0.0,0
-2.4694,-49.16072,20240518,26.31,27.4,25.24,94.38,5.67,100.91,15.98,0.99,19.96,9.33,20.2,0.92,1.62,3.3,0.97,0.17,0.0,6.68,1
-11.07225,-52.45358,20240518,23.79,29.94,18.16,80.0,1.85,97.7,14.65,0.52,14.34,8.33,14.95,0.85,1.38,4.55,0.59,0.25,0.0,1.48,1
38.08078,22.55101,20240519,22.38,30.13,15.11,58.75,2.39,94.42,19.96,0.43,9.46,11.18,9.77,1.66,2.88,0.06,0.43,0.49,0.0,0.0,1
-12.479654165024016,14.786604816594677,20240519,19.94,29.49,11.83,37.81,1.66,84.25,15.97,0.42,5.68,8.18,6.1,3.4,5.78,0.07,0.45,1.73,0.0,0.02,0
-18.36991,-58.89009,20240520,22.56,31.32,15.12,47.75,2.59,98.47,15.96,0.25,8.06,7.37,8.06,2.99,4.59,0.08,0.3,2.01,0.0,0.0,1
10.66499615202524,-63.38526299035504,20240519,28.35,33.02,23.7,69.81,4.46,99.97,17.3,0.55,16.48,10.41,16.6,2.14,2.7,3.57,0.55,1.38,0.0,0.87,0
-14.76495,39.02892,20240519,21.58,26.13,18.1,84.62,3.59,96.01,15.97,0.71,13.85,7.93,14.1,5.72,7.59,0.09,0.77,4.59,0.0,2.76,1
-4.74946,14.56716,20240519,24.8,28.94,21.08,87.19,4.45,95.99,15.97,0.76,17.27,9.11,17.76,1.26,1.8,2.19,0.82,0.55,0.0,0.44,1
-1.51079,38.16818,20240520,25.26,33.72,19.23,64.88,3.73,91.84,17.29,0.49,13.18,9.4,13.37,2.03,3.13,1.62,0.52,1.1,0.0,0.03,1
-14.7831,-61.18548,20240518,28.04,34.58,22.24,57.19,3.62,98.67,15.98,0.52,12.94,7.96,13.31,0.97,1.72,3.24,0.55,0.07,0.0,0.0,1
13.774201879946048,12.050835641471735,20240519,33.19,42.35,24.92,7.69,0.85,96.87,17.3,0.2,2.32,10.6,2.38,4.1,5.58,0.01,0.2,2.51,0.0,0.0,0
-19.801904693719862,27.680695294900303,20240518,19.63,29.51,11.4,26.06,0.77,89.41,15.98,0.27,3.6,7.3,3.72,4.96,6.4,0.05,0.28,3.77,0.0,0.0,0
-1.7536362102791363,20.52309790800477,20240519,29.09,35.76,23.95,58.56,4.61,96.37,17.3,0.34,14.16,9.41,14.83,0.66,1.19,4.38,0.34,0.22,0.0,2.25,0
-31.83186531345343,-53.346202195222766,20240519,11.36,14.74,8.91,96.25,1.61,100.66,14.64,0.85,8.06,5.5,8.12,2.74,4.2,0.15,0.81,1.45,0.0,3.45,0
-24.12460440260149,-48.39762923068126,20240518,22.34,29.79,18.16,73.62,3.42,94.83,14.65,0.55,12.33,6.59,12.45,1.05,2.08,3.32,0.56,0.11,0.0,1.23,0
-12.29435,14.24916,20240520,23.91,33.55,16.51,30.69,1.53,88.72,15.96,0.48,5.55,8.16,5.92,3.73,7.8,0.07,0.49,0.41,0.0,0.01,1
-21.70829,45.23652,20240519,25.69,33.34,19.45,57.94,1.88,97.47,15.97,0.34,11.35,6.99,11.47,5.2,8.0,0.06,0.34,3.11,0.0,0.02,1
22.67619,56.32748,20240518,34.76,42.35,27.11,26.31,2.93,98.55,18.64,0.3,8.48,11.01,8.85,3.41,5.11,0.01,0.29,1.86,0.0,0.0,1
44.86611,-107.43134,20240519,9.26,18.26,3.74,56.19,0.87,82.68,19.96,0.51,4.46,11.08,4.7,3.33,7.62,1.32,0.5,0.25,0.78,0.6,1
-2.84231,17.44029,20240520,30.26,36.62,24.76,65.12,4.41,97.24,15.96,0.37,16.66,9.29,17.09,1.1,1.48,2.44,0.38,0.74,0.0,0.23,1
13.950503874800724,3.623289957602253,20240519,35.55,42.96,27.52,16.12,1.34,97.69,17.3,0.19,5.49,10.6,5.55,3.66,6.45,0.01,0.19,1.31,0.0,0.0,0
16.146212748855824,-9.663316789679804,20240519,37.48,44.06,31.66,14.38,3.67,98.63,17.3,0.09,5.55,10.76,5.62,3.2,4.05,0.01,0.09,2.06,0.0,0.01,0
2.320978475383804,16.069108166944673,20240519,25.58,28.51,23.07,91.5,4.97,96.01,15.97,0.67,19.35,9.79,19.59,0.57,1.23,4.47,0.71,0.11,0.0,5.94,0
-23.855381079461115,-59.31519148463315,20240520,14.5,21.46,7.44,78.56,1.54,100.4,14.63,0.55,7.75,6.66,7.93,3.05,4.61,0.07,0.55,2.2,0.0,0.0,0
8.493040716339436,-12.504273682955116,20240519,27.38,30.45,25.76,90.31,5.53,100.35,17.3,0.68,20.14,10.27,20.57,2.26,3.27,0.23,0.62,0.54,0.0,34.9,0
-7.77754,35.08754,20240519,19.9,25.6,15.6,81.5,2.61,86.92,15.97,0.67,12.88,8.78,13.37,4.1,6.33,0.07,0.77,2.67,0.0,0.25,1
-22.5559667436193,15.73356262253354,20240518,22.73,32.24,15.05,17.88,0.74,90.85,15.98,0.32,3.05,6.88,3.11,5.85,8.99,0.02,0.32,2.36,0.0,0.0,0
-15.879129188831406,-42.469144294736566,20240518,24.19,32.99,15.73,52.38,1.66,92.96,15.98,0.6,9.64,7.83,9.77,2.8,3.83,0.3,0.62,1.77,0.0,0.02,0
-15.24096,125.30865,20240519,28.4,32.4,24.62,48.12,2.12,100.73,14.64,0.31,10.5,7.81,11.41,7.43,11.11,0.01,0.31,4.0,0.0,0.0,1
-15.512255947657543,-65.30463373983422,20240519,23.72,27.8,20.76,66.94,4.07,99.65,15.97,0.67,12.08,7.8,12.27,1.58,2.11,3.84,0.66,1.05,0.0,0.01,0
17.510163500606737,-8.718014251491937,20240520,35.29,42.41,29.42,14.0,2.5,98.3,17.29,0.12,4.94,10.81,4.94,5.81,7.95,0.01,0.12,3.63,0.0,0.0,0
-15.19983,-43.85231,20240519,28.12,35.1,21.55,52.25,1.72,96.0,15.97,0.56,12.27,7.8,12.27,2.37,3.47,0.07,0.57,1.62,0.0,0.0,1
8.98221937370942,-64.31647944772709,20240519,30.05,36.65,23.84,57.25,5.77,98.44,17.3,0.24,14.34,10.27,14.47,6.58,8.32,0.04,0.24,4.95,0.0,0.07,0
5.467717161032567,-55.29930640374675,20240519,25.86,28.54,24.01,92.56,6.16,101.02,17.3,0.88,18.92,10.04,19.1,0.74,1.02,4.21,0.85,0.47,0.0,6.14,0
-18.3640852121652,-44.22825879791045,20240518,26.15,34.26,18.67,44.38,1.65,93.98,15.98,0.47,9.03,7.43,9.16,1.63,3.26,0.07,0.48,0.2,0.0,0.0,0
45.08929,65.07778,20240520,16.16,21.84,10.3,64.38,1.91,100.28,19.95,0.45,6.9,11.07,6.96,4.52,6.52,0.02,0.46,2.68,0.0,1.04,1
-21.47662,-63.53048,20240519,12.3,19.72,6.9,65.44,1.72,91.7,14.64,0.55,5.86,6.98,6.04,1.79,3.2,0.6,0.55,0.2,0.0,0.73,1
-12.012175066651956,-44.90868129634725,20240520,28.01,35.66,21.82,44.0,1.73,94.45,15.96,0.48,10.31,8.15,10.44,3.57,5.29,0.07,0.58,1.64,0.0,0.01,0
12.859813266991267,-14.507911663254497,20240520,35.37,42.95,28.12,33.88,3.77,100.35,17.29,0.41,11.23,10.53,11.29,3.88,6.09,0.03,0.45,1.7,0.0,0.0,0
-9.96645,30.02196,20240520,18.04,23.76,13.96,82.62,2.02,85.8,15.96,0.68,11.96,8.52,12.21,5.89,8.56,0.07,0.76,3.6,0.0,1.47,1
-32.22457,116.15833,20240518,18.68,26.53,12.73,36.31,0.81,100.22,13.31,0.25,4.64,5.4,4.64,6.23,8.12,0.06,0.25,3.39,0.0,0.0,1
-14.107803370326614,-60.78743352330731,20240519,26.45,32.42,21.87,60.81,2.41,97.11,15.97,0.61,13.12,7.93,13.18,1.18,1.66,4.5,0.63,0.88,0.0,0.1,0
-4.93905,13.08123,20240520,26.02,30.58,22.64,86.06,4.51,97.27,15.96,0.79,18.07,9.08,18.49,0.61,1.26,4.4,0.8,0.12,0.0,0.37,1
-13.16203,-46.3329,20240520,27.39,34.13,22.53,45.5,1.59,92.95,15.96,0.34,10.56,8.03,10.68,3.92,5.53,0.07,0.38,2.22,0.0,0.06,1
-14.16653,-65.21132,20240520,24.3,31.19,18.45,66.62,3.23,99.71,15.96,0.66,12.02,7.9,12.51,3.19,5.49,0.07,0.66,1.16,0.0,0.0,1
-16.83182,29.18211,20240519,21.46,30.93,13.58,34.94,1.52,90.23,15.97,0.55,5.37,7.67,5.37,3.32,6.19,0.06,0.56,1.16,0.0,0.0,1
51.61058,40.81489,20240519,13.51,18.85,6.08,73.5,1.48,100.09,21.29,0.69,6.41,10.84,6.96,2.45,3.39,0.06,0.68,1.26,0.0,0.03,1
-8.827869144173448,-50.13116268370224,20240520,28.26,33.96,22.64,65.5,3.29,98.95,15.96,0.59,14.89,8.63,15.56,1.24,1.72,3.08,0.66,0.58,0.0,0.0,0
16.499163581074583,3.834943368165512,20240519,36.11,44.35,28.41,10.12,1.22,97.04,17.3,0.18,3.6,10.76,3.6,4.28,6.91,0.01,0.19,2.64,0.0,0.0,0
3.826535811900307,-51.43302427806355,20240518,26.73,28.15,25.71,91.0,6.23,101.21,17.31,0.95,19.59,9.89,19.9,2.5,3.86,2.69,0.95,0.72,0.0,32.84,0
44.33207,-119.68357,20240518,8.92,16.72,1.22,50.06,0.8,87.15,19.97,0.49,3.48,11.05,3.6,3.88,6.77,0.43,0.55,0.65,0.0,0.03,1
30.35457,73.53741,20240518,38.33,46.48,29.83,18.38,2.48,98.07,18.64,0.42,7.39,11.17,7.39,3.51,6.23,0.03,0.42,1.66,0.0,0.0,1
21.499963753263927,23.68443199763809,20240519,29.6,39.41,20.2,12.0,0.87,94.33,17.3,0.12,2.93,10.98,2.93,4.12,5.98,0.01,0.12,2.86,0.0,0.0,0
-17.39123,44.28904,20240520,27.58,33.34,23.76,72.25,4.02,100.39,15.96,0.56,15.81,7.51,16.11,2.47,3.66,0.06,0.62,0.61,0.0,0.61,1
12.32554878880196,-2.386769962957615,20240518,34.8,41.89,27.9,43.38,4.06,97.53,17.31,0.38,14.34,10.54,14.65,3.76,5.23,0.04,0.38,2.41,0.0,0.26,0
25.073570743382284,21.89324175828069,20240520,32.48,41.51,23.01,13.25,1.24,97.62,17.29,0.23,3.78,11.11,3.85,3.62,5.94,0.01,0.23,1.37,0.0,0.0,0
-12.14409,27.08944,20240518,19.48,27.66,12.67,67.56,1.64,86.93,15.98,0.64,10.01,8.21,10.31,3.74,5.92,0.07,0.71,2.25,0.0,0.21,1
-10.97886,-69.72021,20240520,26.78,32.27,23.21,72.75,4.35,97.57,15.96,0.54,15.93,8.4,15.99,0.89,1.36,4.55,0.55,0.68,0.0,0.13,1
-13.25196,-67.55733,20240519,25.37,29.25,22.1,85.62,4.25,99.23,14.64,0.62,17.33,8.05,17.52,1.03,1.52,4.01,0.66,0.55,0.0,0.1,1
